Method,Number of Clusters,Davies-Bouldin Index,Calinski-Harabasz Score
K-Means,2,1.4703765648365401,38.60851953824872
K-Means,3,1.2812838811476122,41.02084047706496
K-Means,4,1.0979487873818665,39.80019793618446
K-Means,5,1.0482988139297875,41.55064189177684
K-Means,6,1.0159002410241296,38.59374812742466
K-Means,7,1.0323398341463699,40.469327433159364
K-Means,8,1.1889191973901507,38.285745565863074
K-Means,9,1.1506294003980118,37.9392792926186
K-Means,10,1.026511805174,41.01610457387439
Agglomerative (ward),2,1.5986289610966793,34.10667524252553
Agglomerative (ward),3,1.282819764371067,32.23812974276069
Agglomerative (ward),4,1.2331173982536896,35.80672978464433
Agglomerative (ward),5,1.094510988309752,35.25635300519912
Agglomerative (ward),6,0.9946367962279008,37.6220517917169
Agglomerative (ward),7,0.9309946827908947,39.56024105460051
Agglomerative (ward),8,1.0757096014541954,39.97998632287359
Agglomerative (ward),9,1.0819853344397843,40.55529043217099
Agglomerative (ward),10,0.9733105031472025,39.962565074250826
Agglomerative (average),2,1.5063777912844274,33.37578511002746
Agglomerative (average),3,1.3093793938951261,33.31123964252161
Agglomerative (average),4,1.160514597310522,33.74760809843925
Agglomerative (average),5,1.0966679321196118,35.24293610237752
Agglomerative (average),6,1.0279161599276152,38.48608378037619
Agglomerative (average),7,0.9389379668310732,40.085763227070245
Agglomerative (average),8,0.926558961734148,40.896967283560045
Agglomerative (average),9,0.9051823983277303,38.97826293550297
Agglomerative (average),10,0.8949265823978141,39.202306590147614
Agglomerative (complete),2,1.5973938849607177,33.92329077614619
Agglomerative (complete),3,1.255311190838125,37.018603384581766
Agglomerative (complete),4,1.1894424230572054,37.348103311737454
Agglomerative (complete),5,1.1808416127745496,36.60375838644764
Agglomerative (complete),6,1.1058796978285348,39.643902687755634
Agglomerative (complete),7,0.9970123601926281,39.64789348793349
Agglomerative (complete),8,0.918883989433465,39.32675101622443
Agglomerative (complete),9,0.9909031260182315,36.868285649771444
Agglomerative (complete),10,1.0250213161379367,39.237487237008544
